# Generated by ChargePol,,,,,,,,
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude,
charge,time,zmin,zwidth,x,y,lon,lat,Date
pos,939.893768,11.23554,0.67059,-113.723905,13.809537,-96.552376,29.884485,4/7/2023
pos,946.671218,9.59469,2.768739,63.441047,-71.249533,-94.715385,29.117725,4/7/2023
pos,956.94075,7.36521,2.34772,73.031668,6.273614,-94.611214,29.816553,4/7/2023
pos,967.726556,3.34333,0.99093,70.177527,9.614802,-94.640648,29.846672,4/7/2023
pos,968.012684,11.66519,1.260609,-118.594751,-3.484408,-96.601097,29.72859,4/7/2023
pos,972.00163,7.71071,2.20322,-23.240537,88.149552,-95.613281,30.554619,4/7/2023
pos,981.209053,8.63569,3.16702,-34.095889,66.601415,-95.726204,30.360374,4/7/2023
pos,1003.266748,8.85033,1.34886,99.434263,-46.064407,-94.341713,29.344755,4/7/2023
pos,1006.926933,8.7574,2.230239,-95.492292,27.281143,-96.364037,30.005924,4/7/2023
pos,1008.311889,10.40429,2.83889,117.140124,8.457838,-94.152695,29.836243,4/7/2023
pos,1017.207492,10.11378,1.83318,77.335155,-50.321984,-94.570549,29.306376,4/7/2023
pos,1022.578033,7.94791,1.57895,-32.110427,61.349374,-95.705299,30.31303,4/7/2023
pos,1029.417595,3.74527,1.83981,74.811343,10.45121,-94.59243,29.854212,4/7/2023
pos,1046.209528,7.87103,3.28132,-66.806409,62.643236,-96.06768,30.324694,4/7/2023
pos,1048.973609,9.97634,1.96494,63.733648,-69.36132,-94.712257,29.134747,4/7/2023
pos,1057.490536,10.49591,3.01908,130.384737,-10.988805,-94.017426,29.660942,4/7/2023
pos,1076.740622,8.77981,1.4409,73.646152,9.609301,-94.604599,29.846622,4/7/2023
pos,1078.266537,9.79725,2.04186,63.909476,-71.715873,-94.710579,29.113522,4/7/2023
pos,1079.394849,8.8935,2.58316,72.604195,-59.98458,-94.620094,29.219273,4/7/2023
pos,1085.80426,8.33704,3.11354,-32.102345,68.528349,-95.705437,30.377745,4/7/2023
pos,1087.144247,8.18713,3.179101,73.953513,-48.517772,-94.605385,29.322639,4/7/2023
pos,1105.067045,11.28915,1.08243,65.645568,-69.519165,-94.692535,29.133324,4/7/2023
pos,1136.558689,4.23625,0.74819,-51.629127,28.720154,-95.907509,30.018896,4/7/2023
pos,1138.454909,8.0936,2.75591,-58.526175,59.820227,-95.981049,30.299246,4/7/2023
pos,1154.061394,8.58213,2.22486,-30.859677,65.169598,-95.692352,30.347467,4/7/2023
pos,1166.183527,11.43689,1.071051,66.510512,-69.897062,-94.683632,29.129917,4/7/2023
pos,1175.803961,8.07877,1.82927,-44.562341,54.659169,-95.835037,30.252722,4/7/2023
pos,1176.692651,5.96095,3.048729,-1.203053,99.21921,-95.382607,30.654406,4/7/2023
pos,1181.525221,9.03066,2.10925,123.889839,-14.892183,-94.085251,29.625755,4/7/2023
pos,1210.428361,7.65747,1.034,-31.816582,62.640908,-95.702271,30.324673,4/7/2023
pos,1210.926715,7.46553,3.39798,-6.687989,98.74631,-95.440079,30.650143,4/7/2023
pos,1217.926199,8.02211,1.63285,-44.684734,55.120642,-95.836334,30.256882,4/7/2023
pos,1222.035425,9.28677,1.607641,93.076708,-48.804474,-94.407692,29.320055,4/7/2023
pos,1230.676441,8.88598,3.248689,-106.427019,27.779857,-96.477913,30.01042,4/7/2023
pos,1234.99625,11.07506,1.25795,65.956279,-69.172584,-94.689308,29.136448,4/7/2023
pos,1243.655138,3.50326,1.71508,-44.364072,52.718271,-95.832886,30.235226,4/7/2023
pos,1255.173474,9.30575,1.38294,-30.389956,65.98252,-95.687469,30.354795,4/7/2023
